"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob","Enrolled_Factor","Enroll_Tree_Pred","Enroll_Tree_Prob"
367,3,3,"F","0","0",3.54,1020,"Arts & Letters","1","1",3.395,1,0.855172413793103,"1","1",1
369,7,6,"F","0","0",3.64,1340,"Arts & Letters","1","0",NA,0,0.26978417266187,"0","0",0.00160901045856798
371,7,6,"F","1","0",4.08,1430,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
372,7,6,"M","1","0",3.94,1260,"Business & Economics","1","1",3.1,1,0.73936170212766,"1","0",0.173497267759563
376,6,6,"F","1","0",3.9,1300,"Math & Science","1","1",3.205,1,0.73936170212766,"1","0",0.173497267759563
378,7,7,"M","1","0",4.33,1470,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
380,6,3,"M","1","0",3.8,1320,"Math & Science","1","1",3.09,1,0.903225806451613,"1","1",1
383,6,6,"F","1","0",4.08,1320,"Business & Economics","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
388,3,3,"M","0","0",3.79,1130,"Math & Science","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
393,3,5,"F","0","0",3.91,1230,"Math & Science","1","1",2.918,1,0.854901960784314,"1","1",1
395,6,4,"M","1","0",4.06,1540,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
399,1,1,"F","0","0",3.89,1120,"Math & Science","1","0",NA,1,0.793939393939394,"0","0",0.173497267759563
400,1,7,"M","0","0",3.92,1310,"Business & Economics","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
401,6,6,"M","0","0",4,1170,"Math & Science","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
407,7,7,"F","1","0",4.25,1400,"Math & Science","1","1",3.639,1,0.896933560477002,"1","0",0.123106060606061
408,3,3,"F","1","0",3.64,1290,"Math & Science","1","1",3.431,1,0.855172413793103,"1","1",1
417,6,7,"M","1","0",3.85,1340,"Math & Science","1","0",NA,0,0.378048780487805,"0","0",0.00160901045856798
420,6,6,"F","1","0",4.21,1190,"Math & Science","1","0",NA,1,0.695652173913043,"0","0",0.00160901045856798
422,7,6,"F","0","0",3.95,1230,"Business & Economics","1","1",3.465,1,0.854901960784314,"1","1",1
423,7,7,"M","1","0",4.1,1170,"Business & Economics","1","0",NA,1,0.717948717948718,"0","0",0.00160901045856798
427,6,6,"F","0","1",3.95,1170,"Business & Economics","1","1",2.496,1,0.854901960784314,"1","1",1
428,3,3,"F","1","0",4.11,1280,"Business & Economics","1","1",3.5,1,0.73936170212766,"1","0",0.173497267759563
429,6,4,"M","1","0",4.23,1260,"Arts & Letters","1","1",3.351,1,0.73936170212766,"1","0",0.173497267759563
432,4,6,"F","1","0",4.09,1130,"Arts & Letters","1","1",3.699,1,0.854901960784314,"1","1",1
435,6,7,"M","1","0",4.2,1430,"Math & Science","1","1",3.631,1,0.896933560477002,"1","0",0.123106060606061
440,7,7,"F","1","0",4.27,1260,"Arts & Letters","1","1",4,1,0.73936170212766,"1","0",0.173497267759563
442,7,6,"M","1","0",3.25,1120,"Math & Science","1","1",2.83,1,0.855172413793103,"1","1",1
448,7,6,"F","0","0",3.9,1290,"Math & Science","1","1",2.953,1,0.73936170212766,"1","0",0.173497267759563
450,6,4,"F","1","0",3.78,1260,"Math & Science","1","1",3.678,1,0.855172413793103,"1","1",1
451,6,6,"M","1","0",4.27,1550,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
454,7,7,"F","1","0",4.05,1310,"Arts & Letters","1","1",3.878,1,0.73936170212766,"1","0",0.173497267759563
457,3,6,"F","1","0",3.88,1140,"Arts & Letters","1","1",3.374,1,0.854901960784314,"1","1",1
462,7,7,"M","1","0",3.32,1220,"Math & Science","1","1",2.992,1,0.855172413793103,"1","1",1
466,6,7,"F","1","0",4.2,1430,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
473,6,4,"F","0","0",4.35,1460,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
474,4,7,"F","0","0",4.36,1360,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
476,7,6,"M","1","0",3.55,1260,"Math & Science","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
477,7,7,"M","1","0",3.9,1360,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
478,7,6,"F","1","0",4.2,1440,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
479,6,6,"F","0","0",3.88,1150,"Math & Science","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
482,6,6,"F","1","0",3.7,1270,"Business & Economics","1","0",NA,1,0.631578947368421,"0","0",0.00160901045856798
483,3,6,"M","0","0",3.35,1340,"Business & Economics","1","0",NA,0,0.156017830609212,"0","0",0.00160901045856798
484,7,6,"F","1","0",4.25,1290,"Business & Economics","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
485,7,7,"F","1","0",4.12,1300,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
488,6,6,"F","1","0",4.15,1170,"Business & Economics","1","0",NA,1,0.717948717948718,"0","0",0.00160901045856798
490,3,6,"F","1","0",3.59,1180,"Arts & Letters","1","1",2.854,1,0.855172413793103,"1","1",1
492,3,7,"F","1","0",3.86,1110,"Math & Science","1","1",0.757,1,0.854901960784314,"1","1",1
494,7,7,"M","1","0",3.95,1410,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
495,4,6,"F","1","0",4.33,1540,"Math & Science","1","1",3.245,1,0.896933560477002,"1","0",0.123106060606061
496,4,6,"M","1","0",4.3,1280,"Math & Science","1","1",3.182,1,0.73936170212766,"1","0",0.173497267759563
501,4,4,"M","1","0",4,1260,"Math & Science","1","1",2.926,1,0.73936170212766,"1","0",0.173497267759563
502,7,7,"M","0","1",4.17,1290,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
503,3,4,"F","0","0",4.25,1520,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
504,6,6,"F","1","0",3.75,1190,"Business & Economics","1","1",2.691,1,0.855172413793103,"1","1",1
508,6,1,"M","0","0",3.71,930,"Business & Economics","1","1",3.024,1,0.855172413793103,"1","1",1
509,7,4,"M","1","0",4.09,1560,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
510,7,6,"M","1","0",4.4,1600,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
512,7,6,"M","1","0",3.79,1370,"Business & Economics","1","1",3.376,1,0.896933560477002,"1","0",0.123106060606061
516,6,7,"F","1","0",3.97,1170,"Business & Economics","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
517,4,3,"M","0","0",3.24,1140,"Math & Science","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
519,4,6,"F","1","0",3.9,1460,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
520,4,4,"M","1","0",4.27,1310,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
524,4,5,"F","0","1",4.14,1250,"Business & Economics","1","1",3.474,1,0.854901960784314,"1","1",1
525,6,4,"F","1","0",3.73,1420,"Math & Science","1","1",3.813,1,0.855172413793103,"1","1",1
531,6,6,"F","1","0",4.33,1460,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
532,4,7,"F","1","0",4.07,1380,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
537,1,1,"F","0","1",4.42,1170,"Math & Science","1","0",NA,1,0.793939393939394,"0","0",0.173497267759563
538,7,6,"F","1","0",3.85,1280,"Business & Economics","1","1",2.094,1,0.903225806451613,"1","1",1
540,7,6,"M","1","0",4.17,1300,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
547,5,6,"F","0","1",4,1100,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
555,6,6,"F","1","0",4.04,1320,"Arts & Letters","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
556,6,4,"F","0","0",3.62,1180,"Math & Science","1","1",3.23,1,0.855172413793103,"1","1",1
557,7,6,"F","0","0",4.22,1200,"Arts & Letters","1","0",NA,1,0.590909090909091,"0","0",0.00160901045856798
559,4,7,"F","1","0",3.91,1190,"Arts & Letters","1","1",2.686,1,0.854901960784314,"1","1",1
560,6,5,"M","1","0",3.73,1300,"Math & Science","1","0",NA,0,0.336,"0","0",0.00160901045856798
562,7,6,"F","1","0",3.5,1210,"Business & Economics","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
565,6,4,"F","1","0",4.35,1210,"Math & Science","1","1",3.83,1,0.854901960784314,"1","1",1
566,2,3,"F","0","0",4,1350,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
567,5,6,"F","0","0",3.95,1110,"Arts & Letters","1","1",3.036,1,0.854901960784314,"1","1",1
573,3,3,"F","0","0",3.83,1440,"Business & Economics","1","1",3.823,1,0.896933560477002,"1","0",0.123106060606061
575,7,6,"F","0","1",4.08,1340,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
577,3,7,"F","1","0",4,1320,"Business & Economics","1","1",3.028,1,0.73936170212766,"1","0",0.173497267759563
